year,total_workers,permanent_workers,temporary_workers,new_permanent,new_temporary,converted_temps,avg_wage_total,avg_wage_permanent,avg_wage_temporary,total_wage_bill,top_temp_nationalities
2025,5000,4980,20,0,0,0,95000.00,95000.00,95000.00,475000000.00,"{""India"": 0.75, ""Other"": 0.1, ""Mexico"": 0.05}"
2026,5125,5105,20,121,4,4,95727.44,95728.23,95524.49,490603111.10,"{""India"": 0.8, ""Canada"": 0.1, ""Other"": 0.05}"
2027,5253,5233,20,124,4,4,96414.66,96418.06,95524.49,506466207.71,"{""India"": 0.75, ""Other"": 0.05, ""Brazil"": 0.05}"
2028,5384,5364,20,127,4,4,97180.60,97181.73,96875.71,523220339.27,"{""India"": 0.75, ""Mexico"": 0.1, ""Canada"": 0.05}"
2029,5518,5498,20,130,4,4,97916.25,97916.40,97874.89,540301871.79,"{""India"": 0.75, ""Mexico"": 0.1, ""Canada"": 0.05}"
2030,5656,5636,20,134,4,4,98598.44,98601.41,97762.93,557672780.00,"{""India"": 0.65, ""Mexico"": 0.15, ""Canada"": 0.05}"
2031,5798,5777,21,137,5,4,99302.17,99308.51,97556.54,575753957.41,"{""India"": 0.6190476190476191, ""Mexico"": 0.14285714285714285, ""Other"": 0.09523809523809523}"
2032,5943,5921,22,140,5,4,99983.62,99993.89,97219.96,594202649.71,"{""India"": 0.6363636363636364, ""Mexico"": 0.09090909090909091, ""Other"": 0.09090909090909091}"
2033,6092,6069,23,144,5,4,100633.37,100648.90,96533.50,613058469.35,"{""India"": 0.6956521739130435, ""China"": 0.08695652173913043, ""South Korea"": 0.043478260869565216}"
2034,6244,6220,24,147,5,4,101308.33,101329.29,95875.02,632569192.43,"{""India"": 0.6666666666666666, ""China"": 0.125, ""South Korea"": 0.041666666666666664}"
2035,6400,6375,25,151,5,4,101952.40,101970.43,97355.94,652495388.76,"{""India"": 0.64, ""China"": 0.12, ""South Korea"": 0.08}"
